,FECHA_TRANSACCION,TIEMPO,DISPOSITIVO,DIFERENCIA
120,2024-04-18,16:15:00,10000546,900.0
121,2024-04-18,16:30:00,10000546,900.0
122,2024-04-18,16:45:00,10000546,900.0
123,2024-04-18,17:00:00,10000546,900.0
124,2024-04-18,17:15:00,10000546,900.0
125,2024-04-18,17:30:00,10000546,900.0
126,2024-04-18,17:45:00,10000546,900.0
127,2024-04-18,18:00:00,10000546,900.0
128,2024-04-18,18:15:00,10000546,900.0
129,2024-04-18,18:30:00,10000546,900.0
130,2024-04-18,16:15:00,10000547,900.0
131,2024-04-18,16:30:00,10000547,900.0
132,2024-04-18,16:45:00,10000547,900.0
133,2024-04-18,17:00:00,10000547,900.0
134,2024-04-18,17:15:00,10000547,900.0
135,2024-04-18,17:30:00,10000547,900.0
136,2024-04-18,17:45:00,10000547,900.0
137,2024-04-18,18:00:00,10000547,900.0
138,2024-04-18,18:15:00,10000547,900.0
139,2024-04-18,18:30:00,10000547,900.0
140,2024-04-18,16:15:00,10000548,900.0
141,2024-04-18,16:30:00,10000548,900.0
142,2024-04-18,16:45:00,10000548,900.0
143,2024-04-18,17:00:00,10000548,900.0
144,2024-04-18,17:15:00,10000548,900.0
145,2024-04-18,17:30:00,10000548,900.0
146,2024-04-18,17:45:00,10000548,900.0
147,2024-04-18,18:00:00,10000548,900.0
148,2024-04-18,18:15:00,10000548,900.0
149,2024-04-18,18:30:00,10000548,900.0
150,2024-04-18,16:15:00,10001648,900.0
151,2024-04-18,16:30:00,10001648,900.0
152,2024-04-18,16:45:00,10001648,900.0
153,2024-04-18,17:00:00,10001648,900.0
154,2024-04-18,17:15:00,10001648,900.0
155,2024-04-18,17:30:00,10001648,900.0
156,2024-04-18,17:45:00,10001648,900.0
157,2024-04-18,18:00:00,10001648,900.0
158,2024-04-18,18:15:00,10001648,900.0
159,2024-04-18,18:30:00,10001648,900.0
160,2024-04-19,16:15:00,10000546,900.0
161,2024-04-19,16:30:00,10000546,900.0
162,2024-04-19,16:45:00,10000546,900.0
163,2024-04-19,17:00:00,10000546,900.0
164,2024-04-19,17:15:00,10000546,900.0
165,2024-04-19,17:30:00,10000546,900.0
166,2024-04-19,17:45:00,10000546,900.0
167,2024-04-19,18:00:00,10000546,900.0
168,2024-04-19,18:15:00,10000546,900.0
169,2024-04-19,18:30:00,10000546,900.0
170,2024-04-19,16:15:00,10000547,900.0
171,2024-04-19,16:30:00,10000547,900.0
172,2024-04-19,16:45:00,10000547,900.0
173,2024-04-19,17:00:00,10000547,900.0
174,2024-04-19,17:15:00,10000547,900.0
175,2024-04-19,17:30:00,10000547,900.0
176,2024-04-19,17:45:00,10000547,900.0
177,2024-04-19,18:00:00,10000547,900.0
178,2024-04-19,18:15:00,10000547,900.0
179,2024-04-19,18:30:00,10000547,900.0
180,2024-04-19,16:15:00,10000548,900.0
181,2024-04-19,16:30:00,10000548,900.0
182,2024-04-19,16:45:00,10000548,900.0
183,2024-04-19,17:00:00,10000548,900.0
184,2024-04-19,17:15:00,10000548,900.0
185,2024-04-19,17:30:00,10000548,900.0
186,2024-04-19,17:45:00,10000548,900.0
187,2024-04-19,18:00:00,10000548,900.0
188,2024-04-19,18:15:00,10000548,900.0
189,2024-04-19,18:30:00,10000548,900.0
190,2024-04-19,16:15:00,10001648,900.0
191,2024-04-19,16:30:00,10001648,900.0
192,2024-04-19,16:45:00,10001648,900.0
193,2024-04-19,17:00:00,10001648,900.0
194,2024-04-19,17:15:00,10001648,900.0
195,2024-04-19,17:30:00,10001648,900.0
196,2024-04-19,17:45:00,10001648,900.0
197,2024-04-19,18:00:00,10001648,900.0
198,2024-04-19,18:15:00,10001648,900.0
199,2024-04-19,18:30:00,10001648,900.0
200,2024-04-20,16:15:00,10000546,900.0
201,2024-04-20,16:30:00,10000546,900.0
202,2024-04-20,16:45:00,10000546,900.0
203,2024-04-20,17:00:00,10000546,900.0
204,2024-04-20,17:15:00,10000546,900.0
205,2024-04-20,17:30:00,10000546,900.0
206,2024-04-20,17:45:00,10000546,900.0
207,2024-04-20,18:00:00,10000546,900.0
208,2024-04-20,18:15:00,10000546,900.0
209,2024-04-20,18:30:00,10000546,900.0
210,2024-04-20,16:15:00,10000547,900.0
211,2024-04-20,16:30:00,10000547,900.0
212,2024-04-20,16:45:00,10000547,900.0
213,2024-04-20,17:00:00,10000547,900.0
214,2024-04-20,17:15:00,10000547,900.0
215,2024-04-20,17:30:00,10000547,900.0
216,2024-04-20,17:45:00,10000547,900.0
217,2024-04-20,18:00:00,10000547,900.0
218,2024-04-20,18:15:00,10000547,900.0
219,2024-04-20,18:30:00,10000547,900.0
220,2024-04-20,16:15:00,10000548,900.0
221,2024-04-20,16:30:00,10000548,900.0
222,2024-04-20,16:45:00,10000548,900.0
223,2024-04-20,17:00:00,10000548,900.0
224,2024-04-20,17:15:00,10000548,900.0
225,2024-04-20,17:30:00,10000548,900.0
226,2024-04-20,17:45:00,10000548,900.0
227,2024-04-20,18:00:00,10000548,900.0
228,2024-04-20,18:15:00,10000548,900.0
229,2024-04-20,18:30:00,10000548,900.0
230,2024-04-20,16:15:00,10001648,900.0
231,2024-04-20,16:30:00,10001648,900.0
232,2024-04-20,16:45:00,10001648,900.0
233,2024-04-20,17:00:00,10001648,900.0
234,2024-04-20,17:15:00,10001648,900.0
235,2024-04-20,17:30:00,10001648,900.0
236,2024-04-20,17:45:00,10001648,900.0
237,2024-04-20,18:00:00,10001648,900.0
238,2024-04-20,18:15:00,10001648,900.0
239,2024-04-20,18:30:00,10001648,900.0
240,2024-04-21,16:15:00,10000546,900.0
241,2024-04-21,16:30:00,10000546,900.0
242,2024-04-21,16:45:00,10000546,900.0
243,2024-04-21,17:00:00,10000546,900.0
244,2024-04-21,17:15:00,10000546,900.0
245,2024-04-21,17:30:00,10000546,900.0
246,2024-04-21,17:45:00,10000546,900.0
247,2024-04-21,18:00:00,10000546,900.0
248,2024-04-21,18:15:00,10000546,900.0
249,2024-04-21,18:30:00,10000546,900.0
250,2024-04-21,16:15:00,10000547,900.0
251,2024-04-21,16:30:00,10000547,900.0
252,2024-04-21,16:45:00,10000547,900.0
253,2024-04-21,17:00:00,10000547,900.0
254,2024-04-21,17:15:00,10000547,900.0
255,2024-04-21,17:30:00,10000547,900.0
256,2024-04-21,17:45:00,10000547,900.0
257,2024-04-21,18:00:00,10000547,900.0
258,2024-04-21,18:15:00,10000547,900.0
259,2024-04-21,18:30:00,10000547,900.0
260,2024-04-21,16:15:00,10000548,900.0
261,2024-04-21,16:30:00,10000548,900.0
262,2024-04-21,16:45:00,10000548,900.0
263,2024-04-21,17:00:00,10000548,900.0
264,2024-04-21,17:15:00,10000548,900.0
265,2024-04-21,17:30:00,10000548,900.0
266,2024-04-21,17:45:00,10000548,900.0
267,2024-04-21,18:00:00,10000548,900.0
268,2024-04-21,18:15:00,10000548,900.0
269,2024-04-21,18:30:00,10000548,900.0
270,2024-04-21,16:15:00,10001648,900.0
271,2024-04-21,16:30:00,10001648,900.0
272,2024-04-21,16:45:00,10001648,900.0
273,2024-04-21,17:00:00,10001648,900.0
274,2024-04-21,17:15:00,10001648,900.0
275,2024-04-21,17:30:00,10001648,900.0
276,2024-04-21,17:45:00,10001648,900.0
277,2024-04-21,18:00:00,10001648,900.0
278,2024-04-21,18:15:00,10001648,900.0
279,2024-04-21,18:30:00,10001648,900.0
280,2024-04-24,16:15:00,10000543,900.0
281,2024-04-24,16:30:00,10000543,900.0
282,2024-04-24,16:45:00,10000543,900.0
283,2024-04-24,17:00:00,10000543,900.0
284,2024-04-24,17:15:00,10000543,900.0
285,2024-04-24,17:30:00,10000543,900.0
286,2024-04-24,17:45:00,10000543,900.0
287,2024-04-24,18:00:00,10000543,900.0
288,2024-04-24,18:15:00,10000543,900.0
289,2024-04-24,18:30:00,10000543,900.0
290,2024-04-24,16:15:00,10000544,900.0
291,2024-04-24,16:30:00,10000544,900.0
292,2024-04-24,16:45:00,10000544,900.0
293,2024-04-24,17:00:00,10000544,900.0
294,2024-04-24,17:15:00,10000544,900.0
295,2024-04-24,17:30:00,10000544,900.0
296,2024-04-24,17:45:00,10000544,900.0
297,2024-04-24,18:00:00,10000544,900.0
298,2024-04-24,18:15:00,10000544,900.0
299,2024-04-24,18:30:00,10000544,900.0
300,2024-04-24,16:15:00,10000545,900.0
301,2024-04-24,16:30:00,10000545,900.0
302,2024-04-24,16:45:00,10000545,900.0
303,2024-04-24,17:00:00,10000545,900.0
304,2024-04-24,17:15:00,10000545,900.0
305,2024-04-24,17:30:00,10000545,900.0
306,2024-04-24,17:45:00,10000545,900.0
307,2024-04-24,18:00:00,10000545,900.0
308,2024-04-24,18:15:00,10000545,900.0
309,2024-04-24,18:30:00,10000545,900.0
310,2024-04-25,16:15:00,10000543,900.0
311,2024-04-25,16:30:00,10000543,900.0
312,2024-04-25,16:45:00,10000543,900.0
313,2024-04-25,17:00:00,10000543,900.0
314,2024-04-25,17:15:00,10000543,900.0
315,2024-04-25,17:30:00,10000543,900.0
316,2024-04-25,17:45:00,10000543,900.0
317,2024-04-25,18:00:00,10000543,900.0
318,2024-04-25,18:15:00,10000543,900.0
319,2024-04-25,18:30:00,10000543,900.0
320,2024-04-25,16:15:00,10000544,900.0
321,2024-04-25,16:30:00,10000544,900.0
322,2024-04-25,16:45:00,10000544,900.0
323,2024-04-25,17:00:00,10000544,900.0
324,2024-04-25,17:15:00,10000544,900.0
325,2024-04-25,17:30:00,10000544,900.0
326,2024-04-25,17:45:00,10000544,900.0
327,2024-04-25,18:00:00,10000544,900.0
328,2024-04-25,18:15:00,10000544,900.0
329,2024-04-25,18:30:00,10000544,900.0
330,2024-04-25,16:15:00,10000545,900.0
331,2024-04-25,16:30:00,10000545,900.0
332,2024-04-25,16:45:00,10000545,900.0
333,2024-04-25,17:00:00,10000545,900.0
334,2024-04-25,17:15:00,10000545,900.0
335,2024-04-25,17:30:00,10000545,900.0
336,2024-04-25,17:45:00,10000545,900.0
337,2024-04-25,18:00:00,10000545,900.0
338,2024-04-25,18:15:00,10000545,900.0
339,2024-04-25,18:30:00,10000545,900.0
340,2024-04-26,16:15:00,10000543,900.0
341,2024-04-26,16:30:00,10000543,900.0
342,2024-04-26,16:45:00,10000543,900.0
343,2024-04-26,17:00:00,10000543,900.0
344,2024-04-26,17:15:00,10000543,900.0
345,2024-04-26,17:30:00,10000543,900.0
346,2024-04-26,17:45:00,10000543,900.0
347,2024-04-26,18:00:00,10000543,900.0
348,2024-04-26,18:15:00,10000543,900.0
349,2024-04-26,18:30:00,10000543,900.0
350,2024-04-26,16:15:00,10000544,900.0
351,2024-04-26,16:30:00,10000544,900.0
352,2024-04-26,16:45:00,10000544,900.0
353,2024-04-26,17:00:00,10000544,900.0
354,2024-04-26,17:15:00,10000544,900.0
355,2024-04-26,17:30:00,10000544,900.0
356,2024-04-26,17:45:00,10000544,900.0
357,2024-04-26,18:00:00,10000544,900.0
358,2024-04-26,18:15:00,10000544,900.0
359,2024-04-26,18:30:00,10000544,900.0
360,2024-04-26,16:15:00,10000545,900.0
361,2024-04-26,16:30:00,10000545,900.0
362,2024-04-26,16:45:00,10000545,900.0
363,2024-04-26,17:00:00,10000545,900.0
364,2024-04-26,17:15:00,10000545,900.0
365,2024-04-26,17:30:00,10000545,900.0
366,2024-04-26,17:45:00,10000545,900.0
367,2024-04-26,18:00:00,10000545,900.0
368,2024-04-26,18:15:00,10000545,900.0
369,2024-04-26,18:30:00,10000545,900.0
370,2024-04-26,16:15:00,10000546,900.0
371,2024-04-26,16:30:00,10000546,900.0
372,2024-04-26,16:45:00,10000546,900.0
373,2024-04-26,17:00:00,10000546,900.0
374,2024-04-26,17:15:00,10000546,900.0
375,2024-04-26,17:30:00,10000546,900.0
376,2024-04-26,17:45:00,10000546,900.0
377,2024-04-26,18:00:00,10000546,900.0
378,2024-04-26,18:15:00,10000546,900.0
379,2024-04-26,18:30:00,10000546,900.0
380,2024-04-26,16:15:00,10000547,900.0
381,2024-04-26,16:30:00,10000547,900.0
382,2024-04-26,16:45:00,10000547,900.0
383,2024-04-26,17:00:00,10000547,900.0
384,2024-04-26,17:15:00,10000547,900.0
385,2024-04-26,17:30:00,10000547,900.0
386,2024-04-26,17:45:00,10000547,900.0
387,2024-04-26,18:00:00,10000547,900.0
388,2024-04-26,18:15:00,10000547,900.0
389,2024-04-26,18:30:00,10000547,900.0
390,2024-04-26,16:15:00,10000548,900.0
391,2024-04-26,16:30:00,10000548,900.0
392,2024-04-26,16:45:00,10000548,900.0
393,2024-04-26,17:00:00,10000548,900.0
394,2024-04-26,17:15:00,10000548,900.0
395,2024-04-26,17:30:00,10000548,900.0
396,2024-04-26,17:45:00,10000548,900.0
397,2024-04-26,18:00:00,10000548,900.0
398,2024-04-26,18:15:00,10000548,900.0
399,2024-04-26,18:30:00,10000548,900.0
400,2024-04-26,16:15:00,10001648,900.0
401,2024-04-26,16:30:00,10001648,900.0
402,2024-04-26,16:45:00,10001648,900.0
403,2024-04-26,17:00:00,10001648,900.0
404,2024-04-26,17:15:00,10001648,900.0
405,2024-04-26,17:30:00,10001648,900.0
406,2024-04-26,17:45:00,10001648,900.0
407,2024-04-26,18:00:00,10001648,900.0
408,2024-04-26,18:15:00,10001648,900.0
409,2024-04-26,18:30:00,10001648,900.0
410,2024-04-27,16:30:00,10000543,900.0
411,2024-04-27,17:15:00,10000543,2700.0
412,2024-04-27,17:30:00,10000543,900.0
413,2024-04-27,18:15:00,10000543,2700.0
414,2024-04-27,18:30:00,10000543,900.0
415,2024-04-27,16:30:00,10000544,900.0
416,2024-04-27,17:15:00,10000544,2700.0
417,2024-04-27,17:30:00,10000544,900.0
418,2024-04-27,18:15:00,10000544,2700.0
419,2024-04-27,18:30:00,10000544,900.0
420,2024-04-27,16:30:00,10000545,900.0
421,2024-04-27,17:15:00,10000545,2700.0
422,2024-04-27,17:30:00,10000545,900.0
423,2024-04-27,18:15:00,10000545,2700.0
424,2024-04-27,18:30:00,10000545,900.0
425,2024-04-27,16:30:00,10000546,900.0
426,2024-04-27,17:15:00,10000546,2700.0
427,2024-04-27,17:30:00,10000546,900.0
428,2024-04-27,18:15:00,10000546,2700.0
429,2024-04-27,18:30:00,10000546,900.0
430,2024-04-27,16:30:00,10000547,900.0
431,2024-04-27,17:15:00,10000547,2700.0
432,2024-04-27,17:30:00,10000547,900.0
433,2024-04-27,18:15:00,10000547,2700.0
434,2024-04-27,18:30:00,10000547,900.0
435,2024-04-27,16:30:00,10000548,900.0
436,2024-04-27,17:15:00,10000548,2700.0
437,2024-04-27,17:30:00,10000548,900.0
438,2024-04-27,18:15:00,10000548,2700.0
439,2024-04-27,18:30:00,10000548,900.0
440,2024-04-27,16:30:00,10001648,900.0
441,2024-04-27,17:15:00,10001648,2700.0
442,2024-04-27,17:30:00,10001648,900.0
443,2024-04-27,18:15:00,10001648,2700.0
444,2024-04-27,18:30:00,10001648,900.0
445,2024-04-28,16:30:00,10000543,900.0
446,2024-04-28,17:15:00,10000543,2700.0
447,2024-04-28,17:30:00,10000543,900.0
448,2024-04-28,18:15:00,10000543,2700.0
449,2024-04-28,18:30:00,10000543,900.0
450,2024-04-28,16:30:00,10000544,900.0
451,2024-04-28,17:15:00,10000544,2700.0
452,2024-04-28,17:30:00,10000544,900.0
453,2024-04-28,18:15:00,10000544,2700.0
454,2024-04-28,18:30:00,10000544,900.0
455,2024-04-28,16:30:00,10000545,900.0
456,2024-04-28,17:15:00,10000545,2700.0
457,2024-04-28,17:30:00,10000545,900.0
458,2024-04-28,18:15:00,10000545,2700.0
459,2024-04-28,18:30:00,10000545,900.0
460,2024-04-28,16:30:00,10000546,900.0
461,2024-04-28,17:15:00,10000546,2700.0
462,2024-04-28,17:30:00,10000546,900.0
463,2024-04-28,18:15:00,10000546,2700.0
464,2024-04-28,18:30:00,10000546,900.0
465,2024-04-28,16:30:00,10000547,900.0
466,2024-04-28,17:15:00,10000547,2700.0
467,2024-04-28,17:30:00,10000547,900.0
468,2024-04-28,18:15:00,10000547,2700.0
469,2024-04-28,18:30:00,10000547,900.0
470,2024-04-28,16:30:00,10000548,900.0
471,2024-04-28,17:15:00,10000548,2700.0
472,2024-04-28,17:30:00,10000548,900.0
473,2024-04-28,18:15:00,10000548,2700.0
474,2024-04-28,18:30:00,10000548,900.0
475,2024-04-28,16:30:00,10001648,900.0
476,2024-04-28,17:15:00,10001648,2700.0
477,2024-04-28,17:30:00,10001648,900.0
478,2024-04-28,18:15:00,10001648,2700.0
479,2024-04-28,18:30:00,10001648,900.0
480,2024-04-29,16:15:00,10000543,900.0
481,2024-04-29,16:30:00,10000543,900.0
482,2024-04-29,16:45:00,10000543,900.0
483,2024-04-29,17:00:00,10000543,900.0
484,2024-04-29,17:15:00,10000543,900.0
485,2024-04-29,17:30:00,10000543,900.0
486,2024-04-29,17:45:00,10000543,900.0
487,2024-04-29,18:00:00,10000543,900.0
488,2024-04-29,18:15:00,10000543,900.0
489,2024-04-29,18:30:00,10000543,900.0
490,2024-04-29,16:15:00,10000544,900.0
491,2024-04-29,16:30:00,10000544,900.0
492,2024-04-29,16:45:00,10000544,900.0
493,2024-04-29,17:00:00,10000544,900.0
494,2024-04-29,17:15:00,10000544,900.0
495,2024-04-29,17:30:00,10000544,900.0
496,2024-04-29,17:45:00,10000544,900.0
497,2024-04-29,18:00:00,10000544,900.0
498,2024-04-29,18:15:00,10000544,900.0
499,2024-04-29,18:30:00,10000544,900.0
500,2024-04-29,16:15:00,10000545,900.0
501,2024-04-29,16:30:00,10000545,900.0
502,2024-04-29,16:45:00,10000545,900.0
503,2024-04-29,17:00:00,10000545,900.0
504,2024-04-29,17:15:00,10000545,900.0
505,2024-04-29,17:30:00,10000545,900.0
